파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,최종판정
3차-(2).6차례 신고된 남성 전화금융사기범 음성-1.m4a,보이스피싱,41.7,40s~60s,1.24,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 5-1.m4a,보이스피싱,91.3,1m20s~,4.91,92.5%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-5.m4a,보이스피싱,66.9,1m~1m20s,0.55,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 1-4.m4a,보이스피싱,69.3,1m~1m20s,4.76,58.5%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-2.m4a,보이스피싱,53.2,40s~60s,2.22,53.6%,정상
5차례 신고된 남성 전화금융사기범 음성 5-2.m4a,보이스피싱,17.9,~20s,0.0,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,96.1,1m20s~,1.02,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 3-5.m4a,보이스피싱,44.3,40s~60s,3.51,45.4%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-3.m4a,보이스피싱,67.6,1m~1m20s,4.56,81.7%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-3.m4a,보이스피싱,38.5,20s~40s,2.91,72.0%,정상
3차-(1).16차례 신고된 남성 전화금융사기범 음성-10.m4a,보이스피싱,26.4,20s~40s,0.77,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 1-3.m4a,보이스피싱,94.3,1m20s~,2.62,70.9%,정상
3차-(1).16차례 신고된 남성 전화금융사기범 음성-8.m4a,보이스피싱,33.6,20s~40s,0.62,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 3-1.m4a,보이스피싱,115.7,1m20s~,5.0,66.2%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-9.m4a,보이스피싱,56.5,40s~60s,1.59,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 1-2.m4a,보이스피싱,115.5,1m20s~,2.37,56.4%,정상
3차-(2).6차례 신고된 남성 전화금융사기범 음성-6.m4a,보이스피싱,68.8,1m~1m20s,2.67,61.8%,정상
3차-(2).6차례 신고된 남성 전화금융사기범 음성-4.m4a,보이스피싱,45.9,40s~60s,0.83,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 5-4.m4a,보이스피싱,76.7,1m~1m20s,1.51,N/A,정상
금감원_보이스피싱_7_수정08-1.m4a,보이스피싱,388.1,1m20s~,4.79,74.3%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,49.8,40s~60s,0.96,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 3-3.m4a,보이스피싱,75.1,1m~1m20s,0.93,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,70.7,1m~1m20s,1.31,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 5-5.m4a,보이스피싱,30.5,20s~40s,0.4,N/A,정상
5번수정-4.m4a,보이스피싱,23.8,20s~40s,2.75,65.7%,정상
5차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,110.5,1m20s~,5.0,65.4%,보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-3.m4a,보이스피싱,42.5,40s~60s,0.96,N/A,정상
14번수정-3.m4a,보이스피싱,42.1,40s~60s,3.75,48.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-2.m4a,보이스피싱,43.6,40s~60s,1.45,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 4-3.m4a,보이스피싱,59.1,40s~60s,0.24,N/A,정상
14번수정-2.m4a,보이스피싱,47.8,40s~60s,5.0,59.8%,보이스피싱
금감원_보이스피싱_11_수정07-1.m4a,보이스피싱,206.8,1m20s~,5.0,61.4%,보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-2.m4a,보이스피싱,38.5,20s~40s,5.0,63.0%,보이스피싱
금감원_보이스피싱_8_수정06-1.m4a,보이스피싱,62.0,1m~1m20s,5.0,68.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-5.m4a,보이스피싱,71.5,1m~1m20s,3.68,49.1%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-1.m4a,보이스피싱,89.2,1m20s~,4.55,58.7%,보이스피싱
금감원_보이스피싱_5_수정07-1.m4a,보이스피싱,173.4,1m20s~,5.0,77.9%,보이스피싱
14번수정-1.m4a,보이스피싱,53.4,40s~60s,1.45,N/A,정상
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-1.m4a,보이스피싱,32.4,20s~40s,2.45,37.5%,정상
금감원_보이스피싱_2_수정07-1.m4a,보이스피싱,156.2,1m20s~,4.38,66.4%,보이스피싱
13번수정-1.m4a,보이스피싱,54.7,40s~60s,5.0,48.3%,보이스피싱
5번수정-2.m4a,보이스피싱,34.2,20s~40s,0.79,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 2-2.m4a,보이스피싱,124.4,1m20s~,5.0,81.0%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-4.m4a,보이스피싱,50.2,40s~60s,4.73,78.0%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-5.m4a,보이스피싱,95.5,1m20s~,4.74,54.7%,보이스피싱
17번수정-1.m4a,보이스피싱,66.7,1m~1m20s,2.92,40.5%,정상
5번수정-3.m4a,보이스피싱,60.5,1m~1m20s,1.04,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 2-3.m4a,보이스피싱,68.7,1m~1m20s,2.22,54.5%,정상
13번수정-2.m4a,보이스피싱,32.2,20s~40s,1.32,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 2-1.m4a,보이스피싱,86.8,1m20s~,5.0,49.8%,보이스피싱
5번수정-1.m4a,보이스피싱,50.6,40s~60s,0.88,N/A,정상
17번수정-3.m4a,보이스피싱,57.6,40s~60s,1.73,N/A,정상
금감원_보이스피싱_12_수정07-1.m4a,보이스피싱,176.0,1m20s~,4.67,81.7%,보이스피싱
17번수정-2.m4a,보이스피싱,37.1,20s~40s,1.32,N/A,정상
13번수정-3.m4a,보이스피싱,71.9,1m~1m20s,4.79,59.3%,보이스피싱
4차례 신고된 남성 전화금융사기범-3.m4a,보이스피싱,38.7,20s~40s,0.59,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 4-3.m4a,보이스피싱,120.6,1m20s~,4.65,61.4%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 6-1.m4a,보이스피싱,89.6,1m20s~,0.09,N/A,정상
6차례 신고된 남성 전화금융사기범 음성 2-3.m4a,보이스피싱,92.6,1m20s~,3.17,44.0%,정상
16번수정-1.m4a,보이스피싱,32.8,20s~40s,5.0,53.0%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,69.5,1m~1m20s,4.53,57.8%,보이스피싱
7master-1.m4a,보이스피싱,56.9,40s~60s,4.62,58.7%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-2.m4a,보이스피싱,51.6,40s~60s,5.0,70.9%,보이스피싱
11번수정-4.m4a,보이스피싱,101.2,1m20s~,1.47,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 4-2.m4a,보이스피싱,34.0,20s~40s,4.81,46.0%,보이스피싱
금감원_보이스피싱_3_수정07-1.m4a,보이스피싱,158.9,1m20s~,5.0,67.9%,보이스피싱
4차례 신고된 남성 전화금융사기범-2.m4a,보이스피싱,40.8,40s~60s,4.75,64.7%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 1-1.m4a,보이스피싱,97.5,1m20s~,5.0,64.9%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 1-3.m4a,보이스피싱,76.4,1m~1m20s,1.54,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 6-2.m4a,보이스피싱,85.7,1m20s~,5.0,66.0%,보이스피싱
16번수정-2.m4a,보이스피싱,71.1,1m~1m20s,5.0,62.3%,보이스피싱
7master-3.m4a,보이스피싱,44.5,40s~60s,3.81,56.0%,보이스피싱
7master-2.m4a,보이스피싱,40.7,40s~60s,4.93,65.7%,보이스피싱
16번수정-3.m4a,보이스피싱,38.8,20s~40s,2.91,67.7%,정상
6차례 신고된 남성 전화금융사기범 음성 2-1.m4a,보이스피싱,43.9,40s~60s,3.68,67.7%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 6-3.m4a,보이스피싱,104.7,1m20s~,4.37,53.5%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 4-1.m4a,보이스피싱,42.9,40s~60s,5.0,34.6%,보이스피싱
4차례 신고된 남성 전화금융사기범-1.m4a,보이스피싱,70.8,1m~1m20s,4.54,63.1%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 1-2.m4a,보이스피싱,123.4,1m20s~,4.91,45.0%,보이스피싱
4차례 신고된 여성 전화금융사기범-3.m4a,보이스피싱,56.6,40s~60s,5.0,49.4%,보이스피싱
11번수정-3.m4a,보이스피싱,60.7,1m~1m20s,3.86,67.2%,보이스피싱
금감원_보이스피싱_9_수정06-1.m4a,보이스피싱,36.0,20s~40s,5.0,75.2%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-5.m4a,보이스피싱,47.1,40s~60s,0.63,N/A,정상
금감원_보이스피싱_10_수정07-1.m4a,보이스피싱,152.4,1m20s~,5.0,71.2%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 2-3.m4a,보이스피싱,67.9,1m~1m20s,2.5,53.1%,정상
4차례 신고된 남성 전화금융사기범 음성 2-2.m4a,보이스피싱,85.6,1m20s~,4.91,67.4%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,56.2,40s~60s,4.52,83.4%,보이스피싱
11번수정-2.m4a,보이스피싱,105.0,1m20s~,2.46,79.2%,정상
4차례 신고된 남성 전화금융사기범-4.m4a,보이스피싱,30.8,20s~40s,0.74,N/A,정상
4차례 신고된 남성 전화금융사기범 음성 4-4.m4a,보이스피싱,37.9,20s~40s,0.34,N/A,정상
4차례 신고된 여성 전화금융사기범-2.m4a,보이스피싱,42.4,40s~60s,3.11,49.0%,정상
4차례 신고된 남성 전화금융사기범 음성 6-4.m4a,보이스피싱,96.2,1m20s~,3.17,63.4%,정상
6차례 신고된 남성 전화금융사기범 음성 2-6.m4a,보이스피싱,68.0,1m~1m20s,1.77,N/A,정상
금감원_보이스피싱_4_수정07-1.m4a,보이스피싱,189.7,1m20s~,4.91,71.4%,보이스피싱
