파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,최종판정
3차-(2).6차례 신고된 남성 전화금융사기범 음성-1.m4a,보이스피싱,41.7,40s~60s,5.0,63.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-1.m4a,보이스피싱,91.3,1m20s~,5.0,91.5%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-5.m4a,보이스피싱,66.9,1m~1m20s,0.94,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 1-4.m4a,보이스피싱,69.3,1m~1m20s,5.0,58.1%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-2.m4a,보이스피싱,53.2,40s~60s,4.8,53.8%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-2.m4a,보이스피싱,17.9,~20s,1.09,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,96.1,1m20s~,5.0,60.4%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-5.m4a,보이스피싱,44.3,40s~60s,5.0,47.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-3.m4a,보이스피싱,67.6,1m~1m20s,5.0,80.9%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-3.m4a,보이스피싱,38.5,20s~40s,5.0,76.7%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-10.m4a,보이스피싱,26.4,20s~40s,3.21,61.2%,정상
5차례 신고된 남성 전화금융사기범 음성 1-3.m4a,보이스피싱,94.3,1m20s~,5.0,73.2%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-8.m4a,보이스피싱,33.6,20s~40s,5.0,60.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-1.m4a,보이스피싱,115.7,1m20s~,5.0,63.4%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-9.m4a,보이스피싱,56.5,40s~60s,5.0,60.4%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-2.m4a,보이스피싱,115.5,1m20s~,5.0,54.6%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-6.m4a,보이스피싱,68.8,1m~1m20s,5.0,64.6%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-4.m4a,보이스피싱,45.9,40s~60s,5.0,68.7%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-4.m4a,보이스피싱,76.7,1m~1m20s,5.0,69.1%,보이스피싱
금감원_보이스피싱_7_수정08-1.m4a,보이스피싱,388.1,1m20s~,4.78,74.6%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,49.8,40s~60s,5.0,52.1%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-3.m4a,보이스피싱,75.1,1m~1m20s,5.0,47.1%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,70.7,1m~1m20s,5.0,59.3%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-5.m4a,보이스피싱,30.5,20s~40s,4.34,63.9%,보이스피싱
5번수정-4.m4a,보이스피싱,23.8,20s~40s,5.0,65.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,110.5,1m20s~,5.0,59.2%,보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-3.m4a,보이스피싱,42.5,40s~60s,2.82,63.1%,정상
14번수정-3.m4a,보이스피싱,42.1,40s~60s,5.0,47.6%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-2.m4a,보이스피싱,43.6,40s~60s,3.95,50.7%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-3.m4a,보이스피싱,59.1,40s~60s,5.0,46.0%,보이스피싱
14번수정-2.m4a,보이스피싱,47.8,40s~60s,5.0,59.6%,보이스피싱
금감원_보이스피싱_11_수정07-1.m4a,보이스피싱,206.8,1m20s~,5.0,63.5%,보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-2.m4a,보이스피싱,38.5,20s~40s,5.0,65.5%,보이스피싱
금감원_보이스피싱_8_수정06-1.m4a,보이스피싱,62.0,1m~1m20s,5.0,71.3%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-5.m4a,보이스피싱,71.5,1m~1m20s,5.0,49.8%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-1.m4a,보이스피싱,89.2,1m20s~,5.0,60.6%,보이스피싱
금감원_보이스피싱_5_수정07-1.m4a,보이스피싱,173.4,1m20s~,5.0,79.1%,보이스피싱
14번수정-1.m4a,보이스피싱,53.4,40s~60s,5.0,53.3%,보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-1.m4a,보이스피싱,32.4,20s~40s,5.0,41.2%,보이스피싱
금감원_보이스피싱_2_수정07-1.m4a,보이스피싱,156.2,1m20s~,4.91,71.7%,보이스피싱
13번수정-1.m4a,보이스피싱,54.7,40s~60s,5.0,48.4%,보이스피싱
5번수정-2.m4a,보이스피싱,34.2,20s~40s,5.0,71.5%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-2.m4a,보이스피싱,124.4,1m20s~,5.0,77.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-4.m4a,보이스피싱,50.2,40s~60s,5.0,78.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-5.m4a,보이스피싱,95.5,1m20s~,4.91,54.0%,보이스피싱
17번수정-1.m4a,보이스피싱,66.7,1m~1m20s,5.0,50.6%,보이스피싱
5번수정-3.m4a,보이스피싱,60.5,1m~1m20s,5.0,67.1%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-3.m4a,보이스피싱,68.7,1m~1m20s,5.0,57.7%,보이스피싱
13번수정-2.m4a,보이스피싱,32.2,20s~40s,3.48,56.3%,정상
5차례 신고된 남성 전화금융사기범 음성 2-1.m4a,보이스피싱,86.8,1m20s~,5.0,49.6%,보이스피싱
5번수정-1.m4a,보이스피싱,50.6,40s~60s,5.0,67.1%,보이스피싱
17번수정-3.m4a,보이스피싱,57.6,40s~60s,5.0,37.8%,보이스피싱
금감원_보이스피싱_12_수정07-1.m4a,보이스피싱,176.0,1m20s~,5.0,79.7%,보이스피싱
17번수정-2.m4a,보이스피싱,37.1,20s~40s,4.78,61.7%,보이스피싱
13번수정-3.m4a,보이스피싱,71.9,1m~1m20s,5.0,61.9%,보이스피싱
4차례 신고된 남성 전화금융사기범-3.m4a,보이스피싱,38.7,20s~40s,5.0,51.3%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 4-3.m4a,보이스피싱,120.6,1m20s~,5.0,66.0%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 6-1.m4a,보이스피싱,89.6,1m20s~,5.0,60.4%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-3.m4a,보이스피싱,92.6,1m20s~,5.0,51.3%,보이스피싱
16번수정-1.m4a,보이스피싱,32.8,20s~40s,5.0,51.6%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,69.5,1m~1m20s,5.0,62.0%,보이스피싱
7master-1.m4a,보이스피싱,56.9,40s~60s,5.0,57.8%,보이스피싱
6차례 신고된 남성 전화금융사기범 음성 2-2.m4a,보이스피싱,51.6,40s~60s,5.0,71.4%,보이스피싱
11번수정-4.m4a,보이스피싱,101.2,1m20s~,5.0,65.0%,보이스피싱
4차례 신고된 남성 전화금융사기범 음성 4-2.m4a,보이스피싱,34.0,20s~40s,4.75,54.3%,보이스피싱
금감원_보이스피싱_3_수정07-1.m4a,보이스피싱,158.9,1m20s~,5.0,62.4%,보이스피싱
4차례 신고된 남성 전화금융사기범-2.m4a,보이스피싱,40.8,40s~60s,3.49,64.0%,정상
4차례 신고된 여성 전화금융사기범 음성 1-1.m4a,보이스피싱,97.5,1m20s~,5.0,67.4%,보이스피싱
4차례 신고된 여성 전화금융사기범 음성 1-3.m4a,보이스피싱,76.4,1m~1m20s,5.0,66.4%,보이스피싱
