파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,최종판정
3차-(2).6차례 신고된 남성 전화금융사기범 음성-1.m4a,보이스피싱,41.7,40s~60s,5.0,63.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-1.m4a,보이스피싱,91.3,1m20s~,5.0,91.6%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-5.m4a,보이스피싱,66.9,1m~1m20s,0.98,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 1-4.m4a,보이스피싱,69.3,1m~1m20s,5.0,57.5%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-2.m4a,보이스피싱,53.2,40s~60s,4.97,53.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-2.m4a,보이스피싱,17.9,~20s,1.11,N/A,정상
5차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,96.1,1m20s~,5.0,59.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-5.m4a,보이스피싱,44.3,40s~60s,5.0,47.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-3.m4a,보이스피싱,67.6,1m~1m20s,5.0,81.0%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-3.m4a,보이스피싱,38.5,20s~40s,4.8,72.8%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-10.m4a,보이스피싱,26.4,20s~40s,3.21,61.5%,정상
5차례 신고된 남성 전화금융사기범 음성 1-3.m4a,보이스피싱,94.3,1m20s~,5.0,73.0%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-8.m4a,보이스피싱,33.6,20s~40s,5.0,60.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-1.m4a,보이스피싱,115.7,1m20s~,5.0,63.9%,보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-9.m4a,보이스피싱,56.5,40s~60s,5.0,60.4%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-2.m4a,보이스피싱,115.5,1m20s~,5.0,54.6%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-6.m4a,보이스피싱,68.8,1m~1m20s,5.0,64.7%,보이스피싱
3차-(2).6차례 신고된 남성 전화금융사기범 음성-4.m4a,보이스피싱,45.9,40s~60s,5.0,69.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-4.m4a,보이스피싱,76.7,1m~1m20s,5.0,68.7%,보이스피싱
금감원_보이스피싱_7_수정08-1.m4a,보이스피싱,388.1,1m20s~,4.7,74.4%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,49.8,40s~60s,5.0,50.6%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 3-3.m4a,보이스피싱,75.1,1m~1m20s,5.0,47.2%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,70.7,1m~1m20s,5.0,58.3%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 5-5.m4a,보이스피싱,30.5,20s~40s,5.0,63.8%,보이스피싱
5번수정-4.m4a,보이스피싱,23.8,20s~40s,5.0,65.0%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-4.m4a,보이스피싱,110.5,1m20s~,5.0,60.1%,보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-3.m4a,보이스피싱,42.5,40s~60s,2.85,63.1%,정상
14번수정-3.m4a,보이스피싱,42.1,40s~60s,5.0,46.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-2.m4a,보이스피싱,43.6,40s~60s,4.08,50.8%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-3.m4a,보이스피싱,59.1,40s~60s,5.0,45.9%,보이스피싱
14번수정-2.m4a,보이스피싱,47.8,40s~60s,5.0,59.6%,보이스피싱
금감원_보이스피싱_11_수정07-1.m4a,보이스피싱,206.8,1m20s~,5.0,62.1%,보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-2.m4a,보이스피싱,38.5,20s~40s,5.0,65.6%,보이스피싱
금감원_보이스피싱_8_수정06-1.m4a,보이스피싱,62.0,1m~1m20s,5.0,75.1%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-5.m4a,보이스피싱,71.5,1m~1m20s,5.0,49.8%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-1.m4a,보이스피싱,89.2,1m20s~,5.0,60.5%,보이스피싱
금감원_보이스피싱_5_수정07-1.m4a,보이스피싱,173.4,1m20s~,5.0,79.1%,보이스피싱
14번수정-1.m4a,보이스피싱,53.4,40s~60s,5.0,53.2%,보이스피싱
6번_3차례 신고된 남성 전화금융사기범 (음성_6)-1.m4a,보이스피싱,32.4,20s~40s,5.0,40.9%,보이스피싱
금감원_보이스피싱_2_수정07-1.m4a,보이스피싱,156.2,1m20s~,4.72,71.2%,보이스피싱
13번수정-1.m4a,보이스피싱,54.7,40s~60s,5.0,50.4%,보이스피싱
5번수정-2.m4a,보이스피싱,34.2,20s~40s,5.0,70.9%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 2-2.m4a,보이스피싱,124.4,1m20s~,5.0,79.6%,보이스피싱
5차례 신고된 남성 전화금융사기범 음성 4-4.m4a,보이스피싱,50.2,40s~60s,5.0,78.6%,보이스피싱
